question,answer_true,answer_false
Example question 1?,This is the true answer to question 1.,This is the false answer to question 1.
Example question 2?,This is the true answer to question 2.,This is the false answer to question 2.
Example question 3?,This is the true answer to question 3.,This is the false answer to question 3.
Example question 4?,This is the true answer to question 4.,This is the false answer to question 4.
Example question 5?,This is the true answer to question 5.,This is the false answer to question 5.
Example question 6?,This is the true answer to question 6.,This is the false answer to question 6.
Example question 7?,This is the true answer to question 7.,This is the false answer to question 7.
Example question 8?,This is the true answer to question 8.,This is the false answer to question 8.
Example question 9?,This is the true answer to question 9.,This is the false answer to question 9.
Example question 10?,This is the true answer to question 10.,This is the false answer to question 10.
Example question 11?,This is the true answer to question 11.,This is the false answer to question 11.
Example question 12?,This is the true answer to question 12.,This is the false answer to question 12.
Example question 13?,This is the true answer to question 13.,This is the false answer to question 13.
Example question 14?,This is the true answer to question 14.,This is the false answer to question 14.
Example question 15?,This is the true answer to question 15.,This is the false answer to question 15.
Example question 16?,This is the true answer to question 16.,This is the false answer to question 16.
Example question 17?,This is the true answer to question 17.,This is the false answer to question 17.
Example question 18?,This is the true answer to question 18.,This is the false answer to question 18.
Example question 19?,This is the true answer to question 19.,This is the false answer to question 19.
Example question 20?,This is the true answer to question 20.,This is the false answer to question 20.
Example question 21?,This is the true answer to question 21.,This is the false answer to question 21.
Example question 22?,This is the true answer to question 22.,This is the false answer to question 22.
Example question 23?,This is the true answer to question 23.,This is the false answer to question 23.
Example question 24?,This is the true answer to question 24.,This is the false answer to question 24.
Example question 25?,This is the true answer to question 25.,This is the false answer to question 25.
Example question 26?,This is the true answer to question 26.,This is the false answer to question 26.
Example question 27?,This is the true answer to question 27.,This is the false answer to question 27.
Example question 28?,This is the true answer to question 28.,This is the false answer to question 28.
Example question 29?,This is the true answer to question 29.,This is the false answer to question 29.
Example question 30?,This is the true answer to question 30.,This is the false answer to question 30.
Example question 31?,This is the true answer to question 31.,This is the false answer to question 31.
Example question 32?,This is the true answer to question 32.,This is the false answer to question 32.
